,Year,Province,total
785,2564,khonkaen,5741
786,2564,krabi,1044
787,2564,krungthepmahanakhon,37678
788,2564,lampang,2112
789,2564,lamphun,1030
790,2564,loei,1351
791,2564,lopburi,1703
792,2564,maehongson,553
793,2564,mahasarakham,1893
794,2564,mukdahan,785
795,2564,nakhonnayok,1018
796,2564,nakhonpathom,2296
797,2564,nakhonphanom,1281
798,2564,nakhonratchasima,6394
799,2564,nakhonsawan,2286
800,2564,nakhonsithammarat,3175
801,2564,nan,1283
802,2564,narathiwat,1967
803,2564,nongbualamphu,703
804,2564,nongkhai,1085
805,2564,nonthaburi,3267
806,2564,pathumthani,2513
807,2564,pattani,1825
808,2564,phangnga,755
809,2564,phatthalung,1162
810,2564,phayao,1182
811,2564,phetchabun,1667
812,2564,phetchaburi,1098
813,2564,phichit,1036
814,2564,phitsanulok,2700
815,2564,phrae,1119
816,2564,phranakhonsi-ayutthaya,1822
817,2564,phuket,1569
818,2564,prachinburi,1133
819,2564,prachuapkhirikhan,1135
820,2564,ranong,514
821,2564,ratchaburi,2355
822,2564,rayong,1971
823,2564,roi-et,2418
824,2564,sakaeo,1069
825,2564,sakonnakhon,2405
826,2564,samutprakan,3026
827,2564,samutsakhon,2002
828,2564,samutsongkhram,494
829,2564,saraburi,1923
830,2564,satun,780
831,2564,singburi,709
832,2564,sisaket,2477
833,2564,songkhla,4803
834,2564,sukhothai,1097
835,2564,suphanburi,1979
836,2564,suratthani,3259
837,2564,surin,2563
838,2564,tak,1372
839,2564,trang,1680
840,2564,trat,695
841,2564,ubonratchathani,4581
842,2564,udonthani,3339
843,2564,uthaithani,749
844,2564,utradit,1299
845,2564,yala,1572
846,2564,yasothon,976
847,2565,amnatcharoen,683
848,2565,angthong,709
849,2565,buengkan,692
850,2565,buriram,3078
851,2565,chachoengthrao,1731
852,2565,chainat,781
853,2565,chaiyaphum,1975
854,2565,chanthaburi,1922
855,2565,chiangmai,6950
856,2565,chiangrai,2987
857,2565,chonburi,6691
858,2565,chumphon,1252
859,2565,kalasin,1908
860,2565,kamphaengphet,1241
861,2565,kanchanaburi,1788
862,2565,khonkaen,6599
863,2565,krabi,1048
864,2565,krungthepmahanakhon,37846
865,2565,lampang,2095
866,2565,lamphun,1033
867,2565,loei,1400
868,2565,lopburi,1689
869,2565,maehongson,561
870,2565,mahasarakham,1944
871,2565,mukdahan,803
872,2565,nakhonnayok,1063
873,2565,nakhonpathom,2396
874,2565,nakhonphanom,1323
875,2565,nakhonratchasima,6669
876,2565,nakhonsawan,2399
877,2565,nakhonsithammarat,3258
878,2565,nan,1319
879,2565,narathiwat,1965
880,2565,nongbualamphu,714
881,2565,nongkhai,1081
882,2565,nonthaburi,3320
883,2565,pathumthani,3360
884,2565,pattani,1854
885,2565,phangnga,774
886,2565,phatthalung,1175
887,2565,phayao,1224
888,2565,phetchabun,1704
889,2565,phetchaburi,1185
890,2565,phichit,1050
891,2565,phitsanulok,2830
892,2565,phrae,1114
893,2565,phranakhonsi-ayutthaya,1985
894,2565,phuket,1565
895,2565,prachinburi,1119
896,2565,prachuapkhirikhan,1134
897,2565,ranong,520
898,2565,ratchaburi,2424
899,2565,rayong,2023
900,2565,roi-et,2403
901,2565,sakaeo,1127
902,2565,sakonnakhon,2423
903,2565,samutprakan,3271
904,2565,samutsakhon,2091
905,2565,samutsongkhram,500
906,2565,saraburi,1933
907,2565,satun,780
908,2565,singburi,707
909,2565,sisaket,2557
910,2565,songkhla,4868
911,2565,sukhothai,1100
912,2565,suphanburi,1981
913,2565,suratthani,3278
914,2565,surin,2591
915,2565,tak,1400
916,2565,trang,1696
917,2565,trat,697
918,2565,ubonratchathani,4628
919,2565,udonthani,3454
920,2565,uthaithani,768
921,2565,utradit,1330
922,2565,yala,1565
923,2565,yasothon,1022
924,2566,amnatcharoen,711
925,2566,angthong,707
926,2566,buengkan,708
927,2566,buriram,3101
928,2566,chachoengthrao,1768
929,2566,chainat,780
930,2566,chaiyaphum,2016
931,2566,chanthaburi,1952
932,2566,chiangmai,7023
933,2566,chiangrai,2988
934,2566,chonburi,6510
935,2566,chumphon,1275
936,2566,kalasin,1962
937,2566,kamphaengphet,1259
938,2566,kanchanaburi,1828
939,2566,khonkaen,6663
940,2566,krabi,1047
941,2566,krungthepmahanakhon,40206
942,2566,lampang,2041
943,2566,lamphun,1036
944,2566,loei,1452
945,2566,lopburi,1705
946,2566,maehongson,571
947,2566,mahasarakham,1897
948,2566,mukdahan,822
949,2566,nakhonnayok,1093
950,2566,nakhonpathom,2601
951,2566,nakhonphanom,1314
952,2566,nakhonratchasima,6610
953,2566,nakhonsawan,2539
954,2566,nakhonsithammarat,3305
955,2566,nan,1354
956,2566,narathiwat,2002
957,2566,nongbualamphu,740
958,2566,nongkhai,1106
959,2566,nonthaburi,3314
960,2566,pathumthani,3538
961,2566,pattani,1850
962,2566,phangnga,766
963,2566,phatthalung,1222
964,2566,phayao,1222
965,2566,phetchabun,1791
966,2566,phetchaburi,1162
967,2566,phichit,1102
968,2566,phitsanulok,2854
969,2566,phrae,1150
970,2566,phranakhonsi-ayutthaya,1990
971,2566,phuket,1616
972,2566,prachinburi,1121
973,2566,prachuapkhirikhan,1135
974,2566,ranong,536
975,2566,ratchaburi,2333
976,2566,rayong,2180
977,2566,roi-et,2508
978,2566,sakaeo,1167
979,2566,sakonnakhon,2507
980,2566,samutprakan,3280
981,2566,samutsakhon,2101
982,2566,samutsongkhram,485
983,2566,saraburi,1893
984,2566,satun,795
985,2566,singburi,703
986,2566,sisaket,2673
987,2566,songkhla,4938
988,2566,sukhothai,1103
989,2566,suphanburi,2019
990,2566,suratthani,3388
991,2566,surin,2657
992,2566,tak,1449
993,2566,trang,1774
994,2566,trat,697
995,2566,ubonratchathani,4677
996,2566,udonthani,3503
997,2566,uthaithani,763
998,2566,utradit,1352
999,2566,yala,1620
1000,2566,yasothon,1059
1001,2567,amnatcharoen,705
1002,2567,angthong,712
1003,2567,buengkan,730
1004,2567,buriram,3140
1005,2567,chachoengthrao,1818
1006,2567,chainat,801
1007,2567,chaiyaphum,2004
1008,2567,chanthaburi,2018
1009,2567,chiangmai,6851
1010,2567,chiangrai,3142
1011,2567,chonburi,6663
1012,2567,chumphon,1331
1013,2567,kalasin,1975
1014,2567,kamphaengphet,1320
1015,2567,kanchanaburi,1883
1016,2567,khonkaen,6860
1017,2567,krabi,1081
1018,2567,krungthepmahanakhon,41766
1019,2567,lampang,2110
1020,2567,lamphun,1066
1021,2567,loei,1488
1022,2567,lopburi,1713
1023,2567,maehongson,573
