,ปี,จังหวัด,จำนวน,province_en,area_sqkm
332,2558,บึงกาฬ,539,buengkan,3979.54529298928
333,2558,บุรีรัมย์,2231,buriram,10047.11268203788
334,2558,ปทุมธานี,1881,pathumthani,1521.51426750265
335,2558,ประจวบคีรีขันธ์,969,prachuapkhirikhan,6427.18463137311
336,2558,ปราจีนบุรี,1112,prachinburi,5020.33579717407
337,2558,ปัตตานี,1843,pattani,1975.95499697954
338,2558,พระนครศรีอยุธยา,1535,phranakhonsiayutthaya,2547.00670486463
339,2558,พะเยา,1237,phayao,6189.63595036332
340,2558,พังงา,706,phangnga,4580.06905945326
341,2558,พัทลุง,1101,phatthalung,3858.38806176758
342,2558,พิจิตร,946,phichit,4318.65126180923
343,2558,พิษณุโลก,2244,phitsanulok,10598.92285961757
344,2558,ภูเก็ต,1150,phuket,550.09843869971
345,2558,มหาสารคาม,1529,mahasarakham,5582.58568113667
346,2558,มุกดาหาร,644,mukdahan,4092.96993557997
347,2558,ยะลา,1674,yala,4467.26894141248
348,2558,ยโสธร,889,yasothon,4096.15430996103
349,2558,ระนอง,470,ranong,3223.65325675301
350,2558,ระยอง,1568,rayong,3665.05762206486
351,2558,ราชบุรี,2161,ratchaburi,5193.5302239491
352,2558,ร้อยเอ็ด,1908,roiet,7831.5106648173
353,2558,ลพบุรี,1577,lopburi,6501.03118525925
354,2558,ลำปาง,1982,lampang,12500.43740698581
355,2558,ลำพูน,943,lamphun,4481.18815811357
356,2558,ศรีสะเกษ,1808,sisaket,8869.49885872576
357,2558,สกลนคร,1665,sakonnakhon,9525.60546877644
358,2558,สงขลา,4498,songkhla,7745.41218398206
359,2558,สตูล,761,satun,3011.55865450342
360,2558,สมุทรปราการ,1792,samutprakan,965.96104508808
361,2558,สมุทรสงคราม,537,samutsongkhram,412.48672828899
362,2558,สมุทรสาคร,1328,samutsakhon,866.06545786264
363,2558,สระบุรี,1698,saraburi,3487.650451485
364,2558,สระแก้ว,756,sakaeo,6815.11503498248
365,2558,สิงห์บุรี,777,singburi,818.42840644624
366,2558,สุพรรณบุรี,1706,suphanburi,5409.26108410415
367,2558,สุราษฎร์ธานี,2619,suratthani,13086.21372902809
368,2558,สุรินทร์,1839,surin,8809.93517776871
369,2558,สุโขทัย,1102,sukhothai,6672.34183636511
370,2558,หนองคาย,879,nongkhai,3264.2368570057
371,2558,หนองบัวลำภู,626,nongbualamphu,4091.19415926986
372,2558,อำนาจเจริญ,619,amnatcharoen,3262.61378799809
373,2558,อุดรธานี,2496,udonthani,11032.27063166398
374,2558,อุตรดิตถ์,1066,uttaradit,7867.48028212876
375,2558,อุทัยธานี,674,uthaithani,6649.64380504946
376,2558,อุบลราชธานี,3514,ubonratchathani,15472.47978609577
377,2558,อ่างทอง,717,angthong,948.98724583937
378,2558,เชียงราย,2240,chiangrai,11583.01236533042
379,2558,เชียงใหม่,5516,chiangmai,22056.88731834835
380,2558,เพชรบุรี,1061,phetchaburi,6173.00173882862
381,2558,เพชรบูรณ์,1362,phetchabun,12333.1560788834
382,2558,เลย,1112,loei,10490.07923183725
383,2558,แพร่,1044,phrae,6484.53249747241
384,2558,แม่ฮ่องสอน,510,maehongson,12784.28056691474
385,2559,กระบี่,794,krabi,5319.41524737463
386,2559,กรุงเทพมหานคร,28905,bangkok,1566.57785515371
387,2559,กาญจนบุรี,1447,kanchanaburi,19405.04297919269
388,2559,กาฬสินธุ์,1513,kalasin,6898.98345578631
389,2559,กำแพงเพชร,1018,kamphaengphet,8520.49476797851
390,2559,ขอนแก่น,5227,khonkaen,10629.00058294659
391,2559,จันทบุรี,1518,chanthaburi,6404.21977766077
392,2559,ฉะเชิงเทรา,1274,chachoengsao,5166.90358063618
393,2559,ชลบุรี,4550,chonburi,4510.47957863486
394,2559,ชัยนาท,710,chainat,2511.79747645949
395,2559,ชัยภูมิ,1678,chaiyaphum,12679.25394167537
396,2559,ชุมพร,1073,chumphon,6010.28780369493
397,2559,ตรัง,1449,trang,4733.67163479885
398,2559,ตราด,641,trat,2852.41686477382
399,2559,ตาก,1097,tak,17318.85703133057
400,2559,นครนายก,720,nakhonnayok,2139.67123307373
401,2559,นครปฐม,1938,nakhonpathom,2141.72859749704
402,2559,นครพนม,1173,nakhonphanom,5591.2248017037
403,2559,นครราชสีมา,4436,nakhonratchasima,20688.81885376943
404,2559,นครศรีธรรมราช,2655,nakhonsithammarat,9892.39155890953
405,2559,นครสวรรค์,1874,nakhonsawan,9529.875918751
406,2559,นนทบุรี,999,nonthaburi,640.29422318966
407,2559,นราธิวาส,2045,narathiwat,4487.14355388134
408,2559,น่าน,1241,nan,12165.11409446458
409,2559,บึงกาฬ,559,buengkan,3979.54529298928
410,2559,บุรีรัมย์,2312,buriram,10047.11268203788
411,2559,ปทุมธานี,2479,pathumthani,1521.51426750265
412,2559,ประจวบคีรีขันธ์,983,prachuapkhirikhan,6427.18463137311
413,2559,ปราจีนบุรี,1121,prachinburi,5020.33579717407
414,2559,ปัตตานี,1850,pattani,1975.95499697954
415,2559,พระนครศรีอยุธยา,2026,phranakhonsiayutthaya,2547.00670486463
416,2559,พะเยา,1256,phayao,6189.63595036332
417,2559,พังงา,715,phangnga,4580.06905945326
418,2559,พัทลุง,1115,phatthalung,3858.38806176758
419,2559,พิจิตร,954,phichit,4318.65126180923
420,2559,พิษณุโลก,2483,phitsanulok,10598.92285961757
421,2559,ภูเก็ต,1206,phuket,550.09843869971
422,2559,มหาสารคาม,1635,mahasarakham,5582.58568113667
423,2559,มุกดาหาร,646,mukdahan,4092.96993557997
424,2559,ยะลา,1659,yala,4467.26894141248
425,2559,ยโสธร,876,yasothon,4096.15430996103
426,2559,ระนอง,467,ranong,3223.65325675301
427,2559,ระยอง,1731,rayong,3665.05762206486
428,2559,ราชบุรี,2109,ratchaburi,5193.5302239491
429,2559,ร้อยเอ็ด,1983,roiet,7831.5106648173
430,2559,ลพบุรี,1565,lopburi,6501.03118525925
431,2559,ลำปาง,2030,lampang,12500.43740698581
432,2559,ลำพูน,972,lamphun,4481.18815811357
433,2559,ศรีสะเกษ,1815,sisaket,8869.49885872576
434,2559,สกลนคร,1848,sakonnakhon,9525.60546877644
435,2559,สงขลา,4795,songkhla,7745.41218398206
436,2559,สตูล,741,satun,3011.55865450342
437,2559,สมุทรปราการ,1960,samutprakan,965.96104508808
438,2559,สมุทรสงคราม,545,samutsongkhram,412.48672828899
439,2559,สมุทรสาคร,1396,samutsakhon,866.06545786264
440,2559,สระบุรี,1567,saraburi,3487.650451485
441,2559,สระแก้ว,755,sakaeo,6815.11503498248
442,2559,สิงห์บุรี,1698,singburi,818.42840644624
443,2559,สุพรรณบุรี,1724,suphanburi,5409.26108410415
444,2559,สุราษฎร์ธานี,2574,suratthani,13086.21372902809
445,2559,สุรินทร์,2031,surin,8809.93517776871
446,2559,สุโขทัย,1116,sukhothai,6672.34183636511
447,2559,หนองคาย,881,nongkhai,3264.2368570057
448,2559,หนองบัวลำภู,638,nongbualamphu,4091.19415926986
449,2559,อำนาจเจริญ,616,amnatcharoen,3262.61378799809
450,2559,อุดรธานี,2638,udonthani,11032.27063166398
451,2559,อุตรดิตถ์,1104,uttaradit,7867.48028212876
452,2559,อุทัยธานี,673,uthaithani,6649.64380504946
453,2559,อุบลราชธานี,3634,ubonratchathani,15472.47978609577
454,2559,อ่างทอง,767,angthong,948.98724583937
455,2559,เชียงราย,2389,chiangrai,11583.01236533042
456,2559,เชียงใหม่,5641,chiangmai,22056.88731834835
457,2559,เพชรบุรี,1078,phetchaburi,6173.00173882862
458,2559,เพชรบูรณ์,1395,phetchabun,12333.1560788834
459,2559,เลย,1177,loei,10490.07923183725
460,2559,แพร่,1093,phrae,6484.53249747241
461,2559,แม่ฮ่องสอน,516,maehongson,12784.28056691474
462,2560,กระบี่,846,krabi,5319.41524737463
463,2560,กรุงเทพมหานคร,32497,bangkok,1566.57785515371
